IO Bank,Pin Number,IOB Alias,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,Pull Type
4,AC12,IOB_X1Y29,IO_L5P_GC_4,58.086,67.767,,,REAR_TRIGGER,OUT,,,LVCMOS33,12,SLOW,
4,AC13,IOB_X1Y28,IO_L5N_GC_4,53.448,62.356,,,FRONT_TRIGGER,OUT,,,LVCMOS33,12,SLOW,
,AC14,,,,,,,N_SYSTEM_FAULT,OUT,,,,,,
4,AC16,IOB_X1Y20,IO_L9N_CC_GC_4,53.178,62.041,,,MOD_EOLC_TEST,OUT,,,LVCMOS33,12,SLOW,
,AC17,,,,,,,N_MOD_VVS_PWR_MON,iN,,,,,,
,AC18,,,,,,,N_MOD_INTLK_COMP_MON,iN,,,,,,
,AC19,,,,,,,N_MOD_HVOC_MON,iN,,,,,,
17,AC21,IOB_X0Y17,IO_L11P_CC_17,54.876,64.022,,,119MHZ_IN_p,IN,P,119MHZ_IN_n,LVDS_25,12,SLOW,
17,AC22,IOB_X0Y25,IO_L7P_17,59.886,69.867,,,MOD_FAULT_TEST,OUT,,,LVCMOS33,12,SLOW,
17,AC24,IOB_X0Y27,IO_L6P_17,72.666,84.777,,,P2,OUT,,,LVCMOS33,12,SLOW,
17,AC26,IOB_X0Y39,IO_L0P_17,82.26,95.97,,,D26,INOUT,,,LVCMOS33,12,SLOW,
,AC6,,,,,,,N_RFATTN_SYNC,in,,,,,,
18,AC7,IOB_X2Y6,IO_L16N_18,81.834,95.473,,,FP_LED14,OUT,,,LVCMOS33,12,SLOW,
18,AC8,IOB_X2Y5,IO_L17P_18,47.838,55.811,,,FP_LED13,OUT,,,LVCMOS33,12,SLOW,
18,AC9,IOB_X2Y2,IO_L18N_18,42.654,49.763,,,FP_LED12,OUT,,,LVCMOS33,12,SLOW,
,AD1,IPAD_X1Y3,MGTRXP1_118,69.06,80.57,,,RX1_p,IN,,,LVCMOS25,12,SLOW,
18,AD10,IOB_X2Y31,IO_L4P_18,74.73,87.185,,,FP_LED9,OUT,,,LVCMOS33,12,SLOW,
18,AD11,IOB_X2Y34,IO_L2N_18,64.5,75.25,,,FP_LED8,OUT,,,LVCMOS33,12,SLOW,
,AD13,,,,,,,N_X_CTRL_PWR_ON_CMD,OUT,,,,,,
17,AD14,IOB_X0Y0,IO_L19N_17,89.208,104.076,,,MOD_VVS_PWR_TEST,OUT,,,LVCMOS33,12,SLOW,
17,AD15,IOB_X0Y7,IO_L16P_17,77.496,90.412,,,MOD_INTLK_COMP_TEST,OUT,,,LVCMOS33,12,SLOW,
17,AD16,IOB_X0Y8,IO_L15N_17,81.39,94.955,,,MOD_HVOC_TEST,OUT,,,LVCMOS33,12,SLOW,
,AD18,,,,,,,N_MOD_AVAIL_MON,iN,,,,,,
,AD19,,,,,,,N_MOD_EXT_INTLK_MON,iN,,,,,,
,AD2,OPAD_X0Y2,MGTTXN1_118,72.03,84.035,,,TX1_n,OUT,,,LVCMOS25,12,SLOW,
17,AD20,IOB_X0Y18,IO_L10N_CC_17,55.596,64.862,,,POT1_UP,in,,,LVCMOS33,12,SLOW,
17,AD21,IOB_X0Y16,IO_L11N_CC_17,62.586,73.017,,,119MHZ_IN_n,IN,N,119MHZ_IN_p,LVDS_25,12,SLOW,
17,AD23,IOB_X0Y28,IO_L5N_17,64.512,75.264,,,POT2_UP,IN,,,LVCMOS33,12,SLOW,
17,AD24,IOB_X0Y36,IO_L1N_17,69.354,80.913,,,P1,OUT,,,LVCMOS33,12,SLOW,
17,AD25,IOB_X0Y37,IO_L1P_17,80.532,93.954,,,D27,INOUT,,,LVCMOS33,12,SLOW,
17,AD26,IOB_X0Y38,IO_L0N_17,87.486,102.067,,,D28,INOUT,,,LVCMOS33,12,SLOW,
18,AD6,IOB_X2Y7,IO_L16P_18,67.392,78.624,,,RFATTN_SCLK,OUT,,,LVCMOS33,12,SLOW,
18,AD8,IOB_X2Y4,IO_L17N_18,52.662,61.439,,,FP_LED11,OUT,,,LVCMOS33,12,SLOW,
18,AD9,IOB_X2Y3,IO_L18P_18,54.33,63.385,,,FP_LED10,OUT,,,LVCMOS33,12,SLOW,
18,AE10,IOB_X2Y30,IO_L4N_VREF_18,78.246,91.287,,,FP_LED5,OUT,,,LVCMOS33,12,SLOW,
18,AE11,IOB_X2Y35,IO_L2P_18,76.878,89.691,,,FP_LED4,OUT,,,LVCMOS33,12,SLOW,
18,AE12,IOB_X2Y38,IO_L0N_18,71.94,83.93,,,MOD_TRIGGER,OUT,,,LVCMOS33,12,SLOW,
,AE13,,,,,,,N_X_HV_ON_CMD,OUT,,,,,,
17,AE15,IOB_X0Y6,IO_L16N_17,77.496,90.412,,,MOD_AVAIL_TEST,OUT,,,LVCMOS33,12,SLOW,
17,AE16,IOB_X0Y9,IO_L15P_17,86.526,100.947,,,MOD_EXT_INTLK_TEST,OUT,,,LVCMOS33,12,SLOW,
,AE17,,,,,,,N_MOD_KLY_FIL_TD_MON,iN,,,,,,
,AE18,,,,,,,N_MOD_HV_RDY_MON,iN,,,,,,
,AE2,OPAD_X0Y3,MGTTXP1_118,72.588,84.686,,,TX1_p,OUT,,,LVCMOS25,12,SLOW,
17,AE20,IOB_X0Y20,IO_L9N_CC_17,62.238,72.611,,,POT2_DOWN,IN,,,LVCMOS33,12,SLOW,
17,AE21,IOB_X0Y22,IO_L8N_CC_17,70.56,82.32,,,TRIGGER_IN0_n,IN,N,TRIGGER_IN0_p,LVDS_25,12,SLOW,
17,AE22,IOB_X0Y29,IO_L5P_17,71.52,83.44,,,POT1_DOWN,in,,,LVCMOS33,12,SLOW,
17,AE23,IOB_X0Y30,IO_L4N_VREF_17,86.574,101.003,,,TRIGGER_IN1_n,IN,N,TRIGGER_IN1_p,LVDS_25,12,SLOW,
17,AE25,IOB_X0Y35,IO_L2P_17,87.792,102.424,,,D29,INOUT,,,LVCMOS33,12,SLOW,
17,AE26,IOB_X0Y34,IO_L2N_17,89.154,104.013,,,D30,INOUT,,,LVCMOS33,12,SLOW,
,AE5,,,,,,,N_SW_FLT_RST,OUT,,,,,,
,AE6,,,,,,,N_SW_LOCAL,In,,,,,,
