IO Bank,Pin Number,IOB Alias,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,Pull Type
13,W25,IOB_X0Y62,IO_L8N_CC_SM1N_13,67.326,78.547,,,D[19],INOUT,,,LVCMOS33,12,SLOW,
2,W14,IOB_X1Y42,IO_L8N_D2_FS2_2,31.926,37.247,,,D[2],INOUT,,,LVCMOS33,12,SLOW,
13,W26,IOB_X0Y63,IO_L8P_CC_SM1P_13,75.66,88.27,,,D[20],INOUT,,,LVCMOS33,12,SLOW,
13,Y25,IOB_X0Y54,IO_L12N_VRP_13,78.348,91.406,,,D[21],INOUT,,,LVCMOS33,12,SLOW,
13,Y26,IOB_X0Y55,IO_L12P_VRN_13,80.58,94.01,,,D[22],INOUT,,,LVCMOS33,12,SLOW,
13,AA25,IOB_X0Y53,IO_L13P_13,76.182,88.879,,,D[23],INOUT,,,LVCMOS33,12,SLOW,
13,AB25,IOB_X0Y51,IO_L14P_13,84.846,98.987,,,D[24],INOUT,,,LVCMOS33,12,SLOW,
13,AB26,IOB_X0Y52,IO_L13N_13,82.764,96.558,,,D[25],INOUT,,,LVCMOS33,12,SLOW,
17,AC26,IOB_X0Y39,IO_L0P_17,82.26,95.97,,,D[26],INOUT,,,LVCMOS33,12,SLOW,
17,AD25,IOB_X0Y37,IO_L1P_17,80.532,93.954,,,D[27],INOUT,,,LVCMOS33,12,SLOW,
17,AD26,IOB_X0Y38,IO_L0N_17,87.486,102.067,,,D[28],INOUT,,,LVCMOS33,12,SLOW,
17,AE25,IOB_X0Y35,IO_L2P_17,87.792,102.424,,,D[29],INOUT,,,LVCMOS33,12,SLOW,
2,Y13,IOB_X1Y43,IO_L8P_D3_2,34.65,40.425,,,D[3],INOUT,,,LVCMOS33,12,SLOW,
17,AE26,IOB_X0Y34,IO_L2N_17,89.154,104.013,,,D[30],INOUT,,,LVCMOS33,12,SLOW,
17,AF25,IOB_X0Y33,IO_L3P_17,90.522,105.609,,,D[31],INOUT,,,LVCMOS33,12,SLOW,
2,W16,IOB_X1Y44,IO_L7N_D4_2,30.198,35.231,,,D[4],INOUT,,,LVCMOS33,12,SLOW,
2,Y16,IOB_X1Y45,IO_L7P_D5_2,36.972,43.134,,,D[5],INOUT,,,LVCMOS33,12,SLOW,
2,AA14,IOB_X1Y46,IO_L6N_D6_2,47.364,55.258,,,D[6],INOUT,,,LVCMOS33,12,SLOW,
2,AA13,IOB_X1Y47,IO_L6P_D7_2,43.098,50.281,,,D[7],INOUT,,,LVCMOS33,12,SLOW,
4,AB12,IOB_X1Y32,IO_L3N_GC_D8_4,49.05,57.225,,,D[8],INOUT,,,LVCMOS33,12,SLOW,
4,AC11,IOB_X1Y33,IO_L3P_GC_D9_4,57.822,67.459,,,D[9],INOUT,,,LVCMOS33,12,SLOW,
3,F10,IOB_X1Y122,IO_L8N_GC_3,65.382,76.279,,,FADC_CLK_N,OUT,N,FADC_CLK_P,DIFF_HSTL_II_DCI_18,,,
3,E10,IOB_X1Y123,IO_L8P_GC_3,70.518,82.271,,,FADC_CLK_P,OUT,P,FADC_CLK_N,DIFF_HSTL_II_DCI_18,,,
3,E21,IOB_X1Y124,IO_L7N_GC_3,64.62,75.39,,,FADC_DATA_CLK_N,IN,N,FADC_DATA_CLK_P,DIFF_HSTL_II_DCI_18,,,
3,E20,IOB_X1Y125,IO_L7P_GC_3,60.294,70.343,,,FADC_DATA_CLK_P,IN,P,FADC_DATA_CLK_N,DIFF_HSTL_II_DCI_18,,,
3,F19,IOB_X1Y128,IO_L5N_GC_3,50.376,58.772,,,FADC_FRAME_CLK_N,IN,N,FADC_FRAME_CLK_P,DIFF_HSTL_II_DCI_18,,,
3,E18,IOB_X1Y129,IO_L5P_GC_3,52.548,61.306,,,FADC_FRAME_CLK_P,IN,P,FADC_FRAME_CLK_N,DIFF_HSTL_II_DCI_18,,,
15,A20,IOB_X0Y143,IO_L8P_CC_15,86.142,100.499,,,FADC_SCLK,OUT,,,LVCMOS33,12,SLOW,
15,A19,IOB_X0Y146,IO_L6N_15,85.71,99.995,,,FADC_SDIO,INOUT,,,LVCMOS33,12,SLOW,
15,A17,IOB_X0Y148,IO_L5N_15,73.332,85.554,,,FOCUS_SCLK,OUT,,,LVCMOS33,12,SLOW,
15,B17,IOB_X0Y149,IO_L5P_15,82.098,95.781,,,FOCUS_SDIN,IN,,,LVCMOS33,12,SLOW,
18,AF10,IOB_X2Y26,IO_L6N_18,75.786,88.417,,,FP_LED[0],OUT,,,LVCMOS33,12,SLOW,
18,AF9,IOB_X2Y27,IO_L6P_18,82.212,95.914,,,FP_LED[1],OUT,,,LVCMOS33,12,SLOW,
18,AD9,IOB_X2Y3,IO_L18P_18,54.33,63.385,,,FP_LED[10],OUT,,,LVCMOS33,12,SLOW,
18,AD8,IOB_X2Y4,IO_L17N_18,52.662,61.439,,,FP_LED[11],OUT,,,LVCMOS33,12,SLOW,
18,AC9,IOB_X2Y2,IO_L18N_18,42.654,49.763,,,FP_LED[12],OUT,,,LVCMOS33,12,SLOW,
18,AC8,IOB_X2Y5,IO_L17P_18,47.838,55.811,,,FP_LED[13],OUT,,,LVCMOS33,12,SLOW,
18,AC7,IOB_X2Y6,IO_L16N_18,81.834,95.473,,,FP_LED[14],OUT,,,LVCMOS33,12,SLOW,
18,AB9,IOB_X2Y1,IO_L19P_18,35.052,40.894,,,FP_LED[15],OUT,,,LVCMOS33,12,SLOW,
18,AB7,IOB_X2Y18,IO_L10N_CC_18,45.18,52.71,,,FP_LED[16],OUT,,,LVCMOS33,12,SLOW,
18,AA9,IOB_X2Y0,IO_L19N_18,28.776,33.572,,,FP_LED[17],OUT,,,LVCMOS33,12,SLOW,
18,AA8,IOB_X2Y24,IO_L7N_18,36.99,43.155,,,FP_LED[18],OUT,,,LVCMOS33,12,SLOW,
18,AA7,IOB_X2Y25,IO_L7P_18,46.776,54.572,,,FP_LED[19],OUT,,,LVCMOS33,12,SLOW,
18,AF8,IOB_X2Y22,IO_L8N_CC_18,74.1,86.45,,,FP_LED[2],OUT,,,LVCMOS33,12,SLOW,
18,Y8,IOB_X2Y28,IO_L5N_18,32.388,37.786,,,FP_LED[20],OUT,,,LVCMOS33,12,SLOW,
18,Y7,IOB_X2Y29,IO_L5P_18,40.77,47.565,,,FP_LED[21],OUT,,,LVCMOS33,12,SLOW,
18,W9,IOB_X2Y33,IO_L3P_18,29.148,34.006,,,FP_LED[22],OUT,,,LVCMOS33,12,SLOW,
18,V8,IOB_X2Y37,IO_L1P_18,30.708,35.826,,,FP_LED[23],OUT,,,LVCMOS33,12,SLOW,
12,V7,IOB_X2Y106,IO_L6N_12,61.572,71.834,,,FP_LED[24],OUT,,,LVCMOS33,12,SLOW,
12,T7,IOB_X2Y88,IO_L15N_12,44.97,52.465,,,FP_LED[25],OUT,,,LVCMOS33,12,SLOW,
12,U7,IOB_X2Y103,IO_L8P_CC_12,61.428,71.666,,,FP_LED[26],OUT,,,LVCMOS33,12,SLOW,
12,U6,IOB_X2Y97,IO_L11P_CC_12,59.34,69.23,,,FP_LED[27],OUT,,,LVCMOS33,12,SLOW,
12,U5,IOB_X2Y96,IO_L11N_CC_12,62.292,72.674,,,FP_LED[28],OUT,,,LVCMOS33,12,SLOW,
18,AF7,IOB_X2Y23,IO_L8P_CC_18,79.824,93.128,,,FP_LED[3],OUT,,,LVCMOS33,12,SLOW,
18,AE11,IOB_X2Y35,IO_L2P_18,76.878,89.691,,,FP_LED[4],OUT,,,LVCMOS33,12,SLOW,
18,AE10,IOB_X2Y30,IO_L4N_VREF_18,78.246,91.287,,,FP_LED[5],OUT,,,LVCMOS33,12,SLOW,
18,AE8,IOB_X2Y17,IO_L11P_CC_18,66.798,77.931,,,FP_LED[6],OUT,,,LVCMOS33,12,SLOW,
18,AE7,IOB_X2Y16,IO_L11N_CC_18,71.982,83.979,,,FP_LED[7],OUT,,,LVCMOS33,12,SLOW,
18,AD11,IOB_X2Y34,IO_L2N_18,64.5,75.25,,,FP_LED[8],OUT,,,LVCMOS33,12,SLOW,
18,AD10,IOB_X2Y31,IO_L4P_18,74.73,87.185,,,FP_LED[9],OUT,,,LVCMOS33,12,SLOW,
4,AC13,IOB_X1Y28,IO_L5N_GC_4,53.448,62.356,,,FRONT_TRIGGER,OUT,,,LVCMOS33,12,SLOW,
